weather,num_plants,soil_moisture,area,water_liters
sunny,7,47.8,4.45,0.1
sunny,8,40.0,10.74,1.31
sunny,35,23.6,12.03,2.23
sunny,39,29.6,15.96,1.69
sunny,48,23.6,12.52,3.89
sunny,18,17.2,5.15,0.1
sunny,45,16.8,9.65,4.05
cloudy,13,28.5,17.7,7.84
cloudy,24,45.0,10.35,0.1
sunny,36,47.8,14.6,1.41
sunny,13,34.3,10.24,0.1
sunny,31,33.9,14.46,1.87
sunny,7,41.3,10.46,1.4
cloudy,8,30.0,17.05,9.41
rain,49,12.0,4.69,11.94
rain,19,38.0,15.69,55.31
rain,37,49.7,19.51,87.45
cloudy,9,20.7,17.38,8.3
sunny,8,37.2,15.83,0.1
cloudy,50,44.6,19.72,22.38
cloudy,16,40.0,15.32,1.48
sunny,27,48.6,1.08,0.1
sunny,18,32.2,6.12,1.6
sunny,50,18.5,8.8,3.29
rain,16,18.9,9.14,24.8
sunny,21,18.7,6.66,1.99
rain,29,32.8,8.62,35.84
cloudy,34,28.1,3.29,5.5
sunny,26,48.8,19.63,0.1
sunny,30,37.2,8.72,0.73
rain,21,13.4,11.82,32.07
sunny,24,12.3,7.53,2.77
sunny,38,29.5,15.99,4.02
sunny,45,45.2,8.82,0.1
rain,37,49.1,7.83,29.77
sunny,41,34.7,8.59,3.02
sunny,11,31.7,6.73,0.78
sunny,26,44.2,15.73,1.53
cloudy,36,39.8,18.6,21.4
sunny,18,29.1,7.18,0.1
sunny,12,37.1,19.1,1.9
sunny,29,34.3,1.27,0.24
sunny,20,38.6,11.14,1.91
rain,46,28.8,6.79,24.09
sunny,23,28.2,17.77,1.0
sunny,45,46.3,5.76,1.14
rain,20,15.5,13.87,17.42
rain,16,19.2,16.4,56.08
sunny,43,45.3,9.21,1.45
sunny,34,46.2,15.29,1.4
sunny,6,35.8,16.76,0.74
sunny,36,23.0,8.2,1.02
cloudy,49,30.8,2.83,3.25
rain,29,10.0,5.87,17.34
rain,29,22.5,12.25,16.25
rain,8,27.0,10.05,22.42
sunny,23,45.4,10.27,0.49
rain,8,37.2,9.71,41.64
sunny,47,28.2,10.97,1.13
rain,17,29.3,9.4,23.57
rain,43,41.5,17.2,40.98
rain,40,19.2,9.24,42.25
sunny,27,45.2,16.71,1.7
rain,10,22.5,10.68,40.84
rain,28,48.3,2.64,6.65
sunny,48,28.9,13.54,3.64
cloudy,37,38.5,4.93,5.68
rain,16,16.1,17.1,77.49
cloudy,45,39.2,13.95,3.48
rain,25,35.9,4.39,12.34
cloudy,15,18.6,2.33,1.7
sunny,48,17.5,1.18,3.85
cloudy,42,42.3,17.95,8.26
sunny,33,39.9,3.54,0.1
sunny,45,37.0,15.8,3.42
rain,7,21.1,18.58,45.4
rain,32,17.0,14.59,60.43
rain,24,38.2,10.33,29.35
rain,30,28.5,9.92,47.44
rain,28,43.6,17.77,36.73
sunny,25,18.2,10.28,1.79
sunny,34,16.6,8.88,4.0
rain,8,15.0,4.31,20.25
sunny,40,38.9,10.03,1.63
sunny,44,11.2,15.89,5.79
rain,14,39.9,11.57,21.54
sunny,14,13.7,4.04,2.02
rain,46,18.7,3.73,21.06
sunny,28,40.0,13.34,0.1
cloudy,8,39.3,11.25,10.81
sunny,31,11.8,7.19,3.9
sunny,49,18.4,3.79,3.58
rain,8,21.5,4.04,14.11
sunny,36,37.1,3.46,2.58
rain,14,12.5,12.0,31.79
rain,15,32.2,2.75,8.89
sunny,32,10.4,18.3,3.91
rain,50,43.3,2.58,10.05
cloudy,12,49.4,16.21,9.29
rain,44,38.1,17.67,39.9
